iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1032000	-6122.17	-8249.74	-47.9065	7.16704	2190.87	-22.5562
1032100	-6171.23	-8271.42	-57.74	7.16704	2174	-23.2451
1032200	-6117.18	-8269.02	-50.9954	7.16704	2220.99	-25.3263
1032300	-6086.01	-8237.73	-42.6443	7.16704	2211.44	-24.2389
1032400	-6102.21	-8247.3	-51.3146	7.16704	2212.28	-23.0461
1032500	-6105.11	-8256.02	-50.6083	7.16704	2218.26	-23.9178
1032600	-6123.4	-8281.3	-52.5023	7.16704	2227.22	-23.9872
1032700	-6116.86	-8271.29	-40.9218	7.16704	2211.87	-23.687
1032800	-6134.27	-8261.83	-53.8771	7.16704	2199.22	-24.947
1032900	-6185.33	-8294.93	-55.0086	7.16704	2182.5	-25.0556
1033000	-6146.84	-8265.34	-46.092	7.16704	2182.18	-24.7575
1033100	-6161.79	-8271.24	-52.1998	7.16704	2176.44	-21.9512
1033200	-6163.19	-8276.41	-70.0347	7.16704	2198.77	-22.6806
1033300	-6107.68	-8265.75	-53.3398	7.16704	2227.94	-23.6974
1033400	-6123.58	-8275.31	-44.9024	7.16704	2210.84	-21.3798
1033500	-6116.37	-8249.2	-47.6119	7.16704	2196.1	-22.8262
1033600	-6154.88	-8273.81	-58.6722	7.16704	2192.12	-21.6842
1033700	-6114.43	-8288.59	-55.0048	7.16704	2246.03	-24.022
1033800	-6120.55	-8294.4	-49.4372	7.16704	2240.81	-24.6813
1033900	-6156.55	-8333.92	-55.5529	7.16704	2250.48	-24.722
1034000	-6100.67	-8293.67	-46.3251	7.16704	2256.84	-24.6756
1034100	-6103.51	-8307.77	-51.4081	7.16704	2273.39	-24.8882
1034200	-6094.97	-8321.03	-58.1462	7.16704	2303.6	-26.5609
1034300	-6105.1	-8292.44	-53.8922	7.16704	2259.73	-25.6565
1034400	-6116.68	-8296.24	-50.0727	7.16704	2248.85	-26.3815
1034500	-6102.63	-8270.21	-49.2366	7.16704	2233.85	-24.2003
1034600	-6158.87	-8289.14	-50.038	7.16704	2198.93	-25.7978
1034700	-6133.59	-8288.38	-44.5514	7.16704	2216.8	-24.628
1034800	-6189.46	-8319.73	-47.4257	7.16704	2194.17	-23.634
1034900	-6137.91	-8255.35	-50.3844	7.16704	2184.05	-23.3888
1035000	-6161.56	-8281.44	-63.3358	7.16704	2198.7	-22.6472
1035100	-6118.24	-8249.77	-47.8369	7.16704	2193	-20.7917
1035200	-6096.78	-8249.65	-47.6272	7.16704	2215.48	-22.148
1035300	-6071.44	-8264.15	-43.8266	7.16704	2253.19	-23.821
1035400	-6050.63	-8254.74	-54.7699	7.16704	2275.03	-23.3225
1035500	-6032.68	-8229.45	-52.1176	7.16704	2265.16	-23.4397
1035600	-6109.09	-8290.84	-50.5861	7.16704	2248.49	-23.318
1035700	-6083.12	-8251.98	-50.5212	7.16704	2235.93	-23.7185
1035800	-6096.09	-8254.07	-57.181	7.16704	2232.36	-24.3684
1035900	-6127.5	-8252.52	-52.2066	7.16704	2194.14	-24.0761
1036000	-6167.96	-8284.78	-60.0337	7.16704	2194.4	-24.7067
1036100	-6084.59	-8258.96	-46.2633	7.16704	2238.29	-24.8137
