Chain #9
Seed for random number generator: 9 51 52 8 11

Acceptance rates for chain #9 (%)
ptild: 25.7857
theta: 30.8224
p: 30.5209
F: 38.5488
Mt: 12.7887
nm: 27.8664
m: 51.8736

Migration rates
Into/From	1	2	3	4	5
4	0.0440698	0.0244641
5	0.0120258	0.00950098
6	0.0244923	0.0156098
7	0.0335684	0.017163
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.881355	0.0307808
2	0.0125719	0.0130937
3	0.00432951	0.00611304
4	0.000788002	0.00216115
5	0.0114271	0.0105064
6	0.00163674	0.00324793
7	0.00150734	0.00352331
8	0.0828313	0.024833
9	0.00103235	0.00259189
10	0.000954374	0.00245786
11	0.000695369	0.00207543
12	0.000870882	0.00231911
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.466132	0.0547063
2	0.361506	0.0520886
3	0.0478956	0.0211269
4	0.0388871	0.0194793
5	0.0119888	0.0113283
6	0.0299222	0.0193909
7	0.0220358	0.0157969
8	0.00751295	0.00834041
9	0.00523728	0.00694961
10	0.00783507	0.00928791
11	0.00104761	0.0026219
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.117418	0.0335837
2	0.0948127	0.0282589
3	0.0588923	0.025513
4	0.0304357	0.0189466
5	0.169652	0.0428536
6	0.307511	0.0523693
7	0.136258	0.0327587
8	0.0676637	0.026084
9	0.00204666	0.00389959
10	0.00476613	0.00607609
11	0.00675883	0.00754105
12	0.0013348	0.00292465
13	0.000861024	0.00290344
14	0.00117788	0.00289161
15	0.000411282	0.00150542
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.033266	0.017924
2	0.253312	0.0468505
3	0.0182754	0.0133187
4	0.13809	0.0309838
5	0.0372964	0.020255
6	0.178143	0.0413576
7	0.0600704	0.0255748
