Chain #2
Seed for random number generator: 2 51 52 8 11

Acceptance rates for chain #2 (%)
ptild: 27.8169
theta: 30.8688
p: 32.84
F: 38.5445
Mt: 12.9127
nm: 28.0043
m: 51.8858

Migration rates
Into/From	1	2	3	4	5
12	0.0189081	0.0138421
13	0.0448393	0.0211761
14	0.0283527	0.0187914
15	0.00712899	0.00793116
16	0.0957871	0.0376904
17	0.0203802	0.0144928
18	0.00246876	0.00432174
19	0.000978335	0.00247221
20	0.111177	0.0295245
21	0.0441617	0.0184771
22	0.0981288	0.0266435
23	0.00485994	0.00674925
24	0.040964	0.0219914
25	0.00241934	0.0045747
26	0.00108294	0.00268722
27	0.000760083	0.00216993
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.223506	0.0408164
2	0.10521	0.0332099
3	0.18799	0.0409097
4	0.102695	0.030183
5	0.0367099	0.0183473
6	0.195336	0.0413249
7	0.00332763	0.00510594
8	0.00817721	0.00866293
9	0.00322459	0.00556167
10	0.000979636	0.00253449
11	0.00434323	0.00582357
12	0.0012306	0.00297399
13	0.000962145	0.00256233
14	0.00277433	0.00492696
15	0.0302634	0.0185705
16	0.00253146	0.00468515
17	0.00411858	0.00601636
18	0.0129981	0.0125438
19	0.00119599	0.002883
20	0.00118721	0.00280672
21	0.00142645	0.0033395
22	0.00135683	0.00324559
23	0.00156714	0.00372809
24	0.000930028	0.00266428
25	0.000767054	0.0022408
26	0.0115205	0.011357
27	0.000835159	0.00240077
28	0.000868845	0.00244222
29	0.00110797	0.00263067
30	0.050859	0.0221523
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.16536	0.0418059
2	0.274709	0.046652
3	0.540928	0.0539677
4	0.00427357	0.00546551
5	0.00197819	0.0037612
6	0.0013788	0.00334552
7	0.0113727	0.0102074
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.120129	0.0373675
2	0.192419	0.041815
3	0.574077	0.0519067
4	0.0431034	0.0243302
5	0.0122959	0.00966795
6	0.0241525	0.0156936
7	0.0338226	0.0177313
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.879842	0.0319472
2	0.012758	0.0131809
3	0.00431742	0.00613184
4	0.0007019	0.00213488
5	0.0115388	0.0105804
6	0.00165165	0.00342169
7	0.0015873	0.00341235
8	0.0836964	0.0260691
9	0.00105563	0.00256795
10	0.00101763	0.00250538
11	0.000945436	0.00235729
12	0.000887759	0.00222735
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
